cpu,dahili_hafiza,ekran_boyutu,kamera_cozunurlugu,mobil_baglanti_hizi,pil_gucu,ram_kapasitesi,on_kamera_cozunurluk,isletim_sistemi,brands,price
3.2,128,4.5,5,4.5,1500,4,10,0,19,6380.0
1.0,64,7.0,20,4.5,1500,4,10,0,19,6500.0
1.5,64,4.5,5,4.5,1500,4,10,0,18,2799.0
2.0,128,4.5,5,4.0,1500,8,15,0,23,7100.0
1.0,4,6.7,120,4.0,4500,6,50,1,1,69990.0
2.0,16,6.7,12,5.5,6000,8,100,1,16,15099.0
3.2,128,6.5,32,4.5,4500,6,40,0,19,12869.0
2.5,128,8.0,20,4.5,5000,4,40,0,6,5057.0
1.5,128,6.0,13,5.5,4325,4,30,1,1,31499.0
1.5,64,6.0,32,3.0,4323,4,80,0,1,25819.0
2.8,512,6.67,50,5.0,5000,12,40,0,25,37398.0
3.2,128,6.7,15,5.0,4000,6,15,1,1,48920.0
2.0,512,6.67,50,5.0,5000,12,40,0,25,36495.0
3.5,64,6.71,57,4.0,3200,4,90,0,19,4189.0
2.5,256,8.0,20,4.5,4000,8,10,0,2,8552.0
2.4,4,5.4,82,3.0,2400,4,100,1,1,38300.0
3.0,128,6.0,123,3.0,4325,4,60,0,1,6320.0
1.5,128,6.5,12,5.5,3279,6,30,1,19,6499.0
1.5,512,6.7,210,5.0,5000,12,60,0,8,16349.0
1.0,128,8.0,50,4.5,5000,4,10,0,25,7285.0
2.8,256,4.5,5,4.5,1500,8,80,0,9,21999.0
2.4,64,4.5,5,4.5,1500,4,10,0,19,66838.0
2.5,256,6.0,20,5.0,3000,8,20,0,16,13860.0
3.5,128,6.1,72,4.5,3700,8,15,0,19,22219.0
3.0,64,6.0,10,4.0,3000,4,10,0,6,4299.0
2.4,128,4.5,5,4.5,1500,4,10,0,6,5995.0
3.5,64,6.0,15,3.0,1800,3,120,1,1,12949.0
2.0,128,6.0,20,4.5,4000,6,20,0,19,10900.0
1.5,256,6.5,20,5.0,5000,8,40,0,18,6499.0
1.5,128,4.5,5,4.5,1500,6,15,0,25,8149.0
3.2,128,6.0,15,5.0,4000,8,40,0,19,194650.0
2.4,128,6.67,15,4.5,5000,8,15,0,25,10999.0
3.5,128,6.6,72,4.5,5000,8,40,0,18,5999.0
1.5,32,4.5,5,4.0,1500,2,5,0,18,2336.0
3.5,128,6.5,20,4.5,5000,4,10,0,10,4999.0
1.5,256,6.0,12,3.0,3700,4,50,0,1,18574.0
2.5,256,6.1,20,5.0,3000,6,15,1,1,54499.0
2.8,128,7.0,50,4.5,1500,8,60,0,23,6498.0
2.8,16,6.0,76,4.0,5160,3,90,0,13,25737.0
2.5,256,6.7,20,4.5,4000,8,20,0,10,12787.0
3.2,1024,6.7,20,5.0,4000,8,60,1,1,96999.0
2.0,128,6.0,20,4.5,4000,4,20,0,15,12999.0
2.0,256,4.5,5,4.5,1500,8,20,0,19,20799.0
2.0,128,6.0,20,4.5,5000,8,10,0,29,4679.0
2.8,4,4.5,82,4.0,4780,4,50,1,19,8000.0
1.0,64,6.0,13,3.0,4780,4,60,1,1,17049.0
3.5,64,6.0,140,4.0,6000,4,60,0,1,13499.0
1.5,128,6.1,17,3.0,5020,6,120,1,1,31175.0
1.5,256,6.7,86,4.5,5000,8,10,0,23,8339.0
2.8,128,6.0,140,4.0,3110,4,30,1,1,42999.0
2.4,64,6.53,17,4.5,3110,2,10,1,1,6739.0
2.4,32,5.0,54,4.5,4323,2,10,0,1,3799.0
2.8,128,6.0,123,3.0,2800,4,60,1,1,42739.0
1.5,32,5.5,13,4.5,1800,3,10,1,1,5099.0
3.0,128,4.5,5,4.5,1500,8,40,0,23,82299.0
2.8,32,6.0,13,4.5,3000,2,10,0,9,3750.0
3.2,128,6.7,20,5.0,4000,6,20,0,16,13199.0
2.8,8,6.7,76,3.0,4325,6,5,1,1,74999.0
3.0,64,6.8,20,5.0,5000,4,10,0,4,3442.0
1.0,128,6.1,72,4.5,3700,8,15,0,19,22249.0
3.5,256,4.7,76,3.0,3000,32,100,0,19,21000.0
3.2,256,6.1,24,5.0,3095,4,15,1,1,42299.0
3.2,128,6.7,15,5.0,4000,6,15,1,1,50016.0
3.5,256,6.8,123,3.0,3279,12,100,0,19,12399.0
2.0,128,6.0,10,4.0,3000,8,10,0,6,7410.0
2.4,128,6.7,20,4.5,5000,8,20,0,10,8385.0
2.8,256,6.7,60,5.0,4000,8,60,0,31,19999.0
3.5,128,6.6,50,4.0,5000,8,10,0,23,6429.0
2.4,32,4.5,5,4.0,1500,3,10,0,3,19999.0
3.5,32,4.5,5,4.0,1500,2,5,0,18,2430.0
1.5,128,4.5,5,4.5,1500,4,10,0,9,8999.0
1.0,256,6.0,13,5.5,2800,4,30,1,1,22899.0
2.4,64,6.0,13,5.5,3200,4,60,0,1,18499.0
2.5,128,6.5,50,5.0,6000,6,15,0,19,10217.0
2.8,128,6.7,82,3.0,3110,6,80,1,19,5799.0
3.0,64,6.5,13,4.0,3110,4,5,1,1,17569.0
