cpu,dahili_hafiza,ekran_boyutu,kamera_cozunurlugu,mobil_baglanti_hizi,pil_gucu,ram_kapasitesi,on_kamera_cozunurluk,isletim_sistemi,brands,price
1.0,128,6.7,57,5.5,1800,8,60,1,19,9499.0
1.5,64,6.0,76,3.0,2800,3,50,1,1,13034.0
2.4,128,6.7,17,3.0,3900,8,80,1,19,11889.0
2.4,128,6.1,17,4.0,1800,8,30,1,19,17949.0
2.8,512,8.0,15,5.0,3000,8,10,0,19,40919.0
1.5,128,6.0,140,5.5,3279,4,90,1,19,4900.0
3.2,512,6.1,24,5.0,3095,4,15,1,1,49719.0
3.0,128,6.6,76,3.0,4323,4,60,1,9,4999.0
1.5,512,6.0,57,4.0,4323,4,60,0,1,38579.0
3.5,32,6.0,140,3.0,3900,4,30,0,19,3229.0
2.8,128,5.6,120,3.0,4000,4,15,0,19,8200.0
3.5,256,8.0,20,4.5,3000,8,40,0,24,8099.0
1.0,128,6.0,20,4.5,5000,8,10,0,10,5839.0
1.5,128,6.5,15,4.5,2800,8,5,1,19,10999.0
3.5,256,6.0,67,4.0,3700,4,120,1,1,51999.0
2.4,64,6.0,32,5.5,3900,4,120,0,19,4499.0
2.0,128,6.0,12,3.0,4780,6,90,1,9,5999.0
1.0,128,4.5,5,4.5,1500,6,15,0,25,11194.0
2.0,128,6.7,20,4.5,4000,6,10,0,7,5291.0
2.0,512,6.1,24,5.0,3279,6,15,1,1,51499.0
2.4,256,4.5,5,5.0,1500,12,60,0,30,22999.0
2.8,256,6.0,120,4.0,3279,4,90,0,1,44449.0
2.5,64,6.0,20,4.5,5000,4,20,0,19,11999.0
2.0,256,6.1,24,5.0,3279,6,15,1,1,51075.0
1.5,128,6.0,54,5.5,3900,8,30,1,25,17499.0
3.0,16,5.0,17,4.0,2400,2,30,1,1,4465.0
2.8,256,6.0,20,4.0,5000,8,80,0,30,8999.0
